E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],Rp [m/s2],Ro [m/s2],
       683724.700000,      4941687.000000,            0.016000,            0.021000,            0.018000,            0.005000,            0.026000,
       684721.800000,      4941687.000000,            0.016000,            0.015000,            0.016000,            0.000000,            0.022000,
       684472.400000,      4942119.000000,            0.019000,            0.019000,            0.019000,            0.001000,            0.027000,
       685220.300000,      4941687.000000,            0.018000,            0.013000,            0.015000,            0.022000,            0.004000,
       684971.000000,      4942119.000000,            0.023000,            0.016000,            0.019000,            0.004000,            0.028000,
       685718.900000,      4941687.000000,            0.014000,            0.015000,            0.014000,            0.020000,            0.000000,
       685469.500000,      4942119.000000,            0.019000,            0.019000,            0.019000,            0.027000,            0.001000,
       686466.800000,      4941256.000000,            0.011000,            0.014000,            0.013000,            0.018000,            0.002000,
       686217.400000,      4941687.000000,            0.016000,            0.016000,            0.016000,            0.001000,            0.023000,
       685968.200000,      4941256.000000,            0.012000,            0.009000,            0.011000,            0.015000,            0.003000,
       686965.300000,      4941256.000000,            0.012000,            0.012000,            0.012000,            0.000000,            0.017000,
       686715.900000,      4941687.000000,            0.015000,            0.013000,            0.014000,            0.020000,            0.002000,
       687463.800000,      4941256.000000,            0.012000,            0.012000,            0.012000,            0.001000,            0.017000,
       687214.500000,      4941687.000000,            0.014000,            0.013000,            0.013000,            0.000000,            0.019000,
       687962.400000,      4941256.000000,            0.011000,            0.011000,            0.011000,            0.015000,            0.000000,
       687713.000000,      4941687.000000,            0.016000,            0.016000,            0.016000,            0.001000,            0.023000,
       688460.900000,      4941256.000000,            0.013000,            0.011000,            0.012000,            0.001000,            0.017000,
       688211.500000,      4941687.000000,            0.015000,            0.014000,            0.014000,            0.020000,            0.002000,
       706044.200000,      4958682.000000,            0.012000,            0.011000,            0.012000,            0.000000,            0.017000,
       706044.200000,      4958184.000000,            0.014000,            0.012000,            0.013000,            0.018000,            0.002000,
       706475.500000,      4958433.000000,            0.012000,            0.011000,            0.011000,            0.000000,            0.016000,
       689458.000000,      4941256.000000,            0.011000,            0.013000,            0.012000,            0.002000,            0.017000,
       689208.600000,      4941687.000000,            0.016000,            0.013000,            0.015000,            0.001000,            0.021000,
       688959.400000,      4941256.000000,            0.015000,            0.010000,            0.012000,            0.017000,            0.004000,
