E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],Rp [m/s2],Ro [m/s2],
       669765.900000,      4992107.000000,            1.352000,            1.011000,            1.169000,            0.186000,            1.678000,
       669516.500000,      4992539.000000,            0.177000,            0.767000,            0.368000,            0.681000,            0.395000,
       669267.400000,      4992107.000000,            1.013000,            1.076000,            1.044000,            1.478000,            0.004000,
       664033.800000,      4988222.000000,            0.391000,            1.825000,            0.845000,            1.065000,            1.532000,
       664283.200000,      4987791.000000,            0.442000,            1.778000,            0.886000,            1.600000,            0.892000,
       664532.300000,      4988222.000000,            0.396000,            1.656000,            0.810000,            1.480000,            0.842000,
       671261.500000,      4992107.000000,            1.082000,            1.052000,            1.067000,            0.029000,            1.508000,
       671012.200000,      4992539.000000,            0.196000,            0.677000,            0.364000,            0.360000,            0.606000,
       670763.000000,      4992107.000000,            1.099000,            1.046000,            1.072000,            1.514000,            0.088000,
       665529.400000,      4988222.000000,            0.410000,            1.387000,            0.754000,            1.293000,            0.649000,
       665778.800000,      4987791.000000,            0.435000,            1.405000,            0.782000,            0.729000,            1.278000,
       666027.900000,      4988222.000000,            0.333000,            1.254000,            0.647000,            1.143000,            0.613000,
       672757.100000,      4992107.000000,            0.940000,            0.973000,            0.956000,            1.353000,            0.021000,
       672507.800000,      4992539.000000,            0.259000,            0.756000,            0.442000,            0.729000,            0.327000,
       672258.600000,      4992107.000000,            0.919000,            1.009000,            0.963000,            1.364000,            0.018000,
       667025.000000,      4988222.000000,            0.435000,            1.676000,            0.854000,            0.926000,            1.463000,
       667274.400000,      4987791.000000,            0.497000,            1.768000,            0.937000,            0.951000,            1.571000,
       667523.500000,      4988222.000000,            0.663000,            1.701000,            1.062000,            1.695000,            0.678000,
       674252.700000,      4992107.000000,            0.694000,            1.167000,            0.900000,            1.326000,            0.290000,
       674003.400000,      4992539.000000,            0.356000,            0.894000,            0.564000,            0.409000,            0.871000,
       673754.200000,      4992107.000000,            0.785000,            1.020000,            0.895000,            1.281000,            0.124000,
       668520.600000,      4988222.000000,            0.667000,            1.700000,            1.065000,            1.697000,            0.675000,
       668770.000000,      4987791.000000,            0.657000,            2.127000,            1.182000,            2.002000,            0.974000,
       669019.100000,      4988222.000000,            0.798000,            1.558000,            1.115000,            0.593000,            1.647000,
       675748.300000,      4992107.000000,            0.560000,            1.494000,            0.914000,            1.473000,            0.612000,
       675499.000000,      4992539.000000,            0.375000,            0.991000,            0.609000,            0.980000,            0.404000,
       675249.800000,      4992107.000000,            0.603000,            1.339000,            0.898000,            1.390000,            0.475000,
       670016.200000,      4988222.000000,            0.505000,            1.359000,            0.828000,            1.337000,            0.559000,
       670265.600000,      4987791.000000,            0.587000,            1.764000,            1.018000,            1.689000,            0.776000,
       670514.700000,      4988222.000000,            0.538000,            1.468000,            0.889000,            1.439000,            0.610000,
       677243.900000,      4992107.000000,            0.517000,            1.941000,            1.002000,            1.770000,            0.949000,
       676994.600000,      4992539.000000,            0.227000,            0.685000,            0.394000,            0.345000,            0.634000,
       676745.400000,      4992107.000000,            0.472000,            1.901000,            0.947000,            1.065000,            1.643000,
       671511.800000,      4988222.000000,            0.699000,            1.428000,            0.999000,            0.565000,            1.486000,
       671761.200000,      4987791.000000,            0.665000,            1.376000,            0.956000,            1.459000,            0.455000,
       672010.300000,      4988222.000000,            0.716000,            1.316000,            0.971000,            0.472000,            1.422000,
       678739.600000,      4992107.000000,            0.578000,            1.801000,            1.021000,            1.710000,            0.808000,
       678490.200000,      4992539.000000,            0.215000,            0.446000,            0.310000,            0.473000,            0.148000,
       678241.000000,      4992107.000000,            0.559000,            1.843000,            1.015000,            1.728000,            0.851000,
       677493.100000,      4941256.000000,            0.169000,            0.366000,            0.249000,            0.383000,            0.126000,
       677991.700000,      4941256.000000,            0.308000,            0.309000,            0.309000,            0.015000,            0.437000,
       677742.300000,      4941687.000000,            0.499000,            0.912000,            0.675000,            1.007000,            0.259000,
       676993.200000,      4946436.000000,            0.449000,            0.419000,            0.434000,            0.001000,            0.615000,
       676743.800000,      4946868.000000,            0.418000,            0.440000,            0.428000,            0.606000,            0.004000,
       676494.700000,      4946436.000000,            0.446000,            0.492000,            0.468000,            0.664000,            0.011000,
       674502.800000,      4989086.000000,            1.101000,            0.789000,            0.932000,            1.328000,            0.265000,
       674752.200000,      4988654.000000,            1.393000,            1.091000,            1.233000,            1.748000,            0.272000,
       675001.300000,      4989086.000000,            1.029000,            0.696000,            0.846000,            1.211000,            0.276000,
       681232.200000,      4992107.000000,            0.940000,            1.037000,            0.988000,            0.115000,            1.395000,
       681730.800000,      4992107.000000,            0.992000,            0.914000,            0.953000,            0.010000,            1.349000,
       681481.400000,      4992539.000000,            0.366000,            0.374000,            0.370000,            0.523000,            0.012000,
       675998.700000,      4988222.000000,            1.134000,            0.986000,            1.058000,            1.495000,            0.154000,
       676248.100000,      4987791.000000,            0.920000,            1.174000,            1.039000,            0.228000,            1.474000,
       676497.200000,      4988222.000000,            1.217000,            0.842000,            1.012000,            0.217000,            1.464000,
       683226.400000,      4992107.000000,            0.881000,            0.728000,            0.801000,            1.133000,            0.146000,
       682977.000000,      4992539.000000,            0.318000,            0.526000,            0.409000,            0.601000,            0.127000,
       682727.800000,      4992107.000000,            0.977000,            0.787000,            0.877000,            0.093000,            1.251000,
       677494.300000,      4988222.000000,            0.856000,            0.643000,            0.742000,            0.116000,            1.064000,
       677743.700000,      4987791.000000,            0.661000,            0.589000,            0.624000,            0.022000,            0.885000,
       677992.800000,      4988222.000000,            0.746000,            0.631000,            0.686000,            0.049000,            0.976000,
       705612.900000,      4963910.000000,            0.336000,            0.322000,            0.329000,            0.005000,            0.465000,
       705612.900000,      4963412.000000,            0.343000,            0.206000,            0.266000,            0.385000,            0.110000,
       706044.200000,      4963661.000000,            0.241000,            0.293000,            0.266000,            0.379000,            0.024000,
       704750.400000,      4964409.000000,            0.491000,            0.240000,            0.343000,            0.160000,            0.523000,
       704750.400000,      4963911.000000,            0.554000,            0.224000,            0.352000,            0.216000,            0.558000,
       705181.700000,      4964160.000000,            0.415000,            0.303000,            0.355000,            0.063000,            0.510000,
       685719.100000,      4992107.000000,            0.933000,            0.756000,            0.840000,            0.085000,            1.198000,
       686217.600000,      4992107.000000,            0.991000,            0.711000,            0.840000,            1.196000,            0.238000,
       685968.200000,      4992539.000000,            0.202000,            0.267000,            0.232000,            0.057000,            0.330000,
       688711.100000,      4989517.000000,            0.878000,            0.376000,            0.575000,            0.875000,            0.384000,
       688461.600000,      4989949.000000,            1.053000,            0.411000,            0.658000,            1.019000,            0.488000,
       688212.500000,      4989517.000000,            0.839000,            0.417000,            0.592000,            0.878000,            0.328000,
       683475.600000,      4992539.000000,            0.309000,            0.424000,            0.362000,            0.099000,            0.515000,
       690455.500000,      4990812.000000,            0.382000,            0.248000,            0.308000,            0.442000,            0.110000,
       690206.100000,      4991244.000000,            0.783000,            0.166000,            0.361000,            0.656000,            0.458000,
       689957.000000,      4990812.000000,            0.497000,            0.208000,            0.322000,            0.188000,            0.505000,
       706044.200000,      4980590.000000,            0.774000,            0.433000,            0.579000,            0.845000,            0.269000,
       706475.500000,      4980839.000000,            0.793000,            0.378000,            0.547000,            0.817000,            0.321000,
       706044.200000,      4981088.000000,            0.543000,            0.207000,            0.336000,            0.523000,            0.255000,
       689458.000000,      4992539.000000,            0.170000,            0.230000,            0.198000,            0.284000,            0.033000,
       689707.300000,      4992107.000000,            0.547000,            0.334000,            0.427000,            0.617000,            0.171000,
       689956.500000,      4992539.000000,            0.179000,            0.231000,            0.203000,            0.291000,            0.027000,
       696687.500000,      4990381.000000,            0.197000,            0.376000,            0.272000,            0.410000,            0.113000,
       697186.000000,      4990381.000000,            0.219000,            0.622000,            0.369000,            0.604000,            0.265000,
       696936.600000,      4990812.000000,            0.415000,            0.591000,            0.495000,            0.148000,            0.707000,
       695689.800000,      4992107.000000,            0.824000,            0.453000,            0.611000,            0.232000,            0.911000,
       695440.400000,      4992539.000000,            0.164000,            0.217000,            0.189000,            0.271000,            0.028000,
       695191.300000,      4992107.000000,            0.666000,            0.452000,            0.549000,            0.125000,            0.795000,
       693447.100000,      4989949.000000,            0.416000,            0.333000,            0.372000,            0.527000,            0.076000,
       692948.500000,      4989949.000000,            0.452000,            0.307000,            0.373000,            0.533000,            0.120000,
