Station Code,Monitor ID,Repi [km],E_UTM [m],N_UTM [m],LON [dd],LAT [dd],
MON2695, 2695, 2.670000e+01, 6.658111e+05, 4.500983e+06, 2.296100e+01, 4.064300e+01,
MON2696, 2696, 2.680000e+01, 6.657216e+05, 4.500855e+06, 2.296000e+01, 4.064200e+01,
MON2697, 2697, 2.660000e+01, 6.658430e+05, 4.501027e+06, 2.296100e+01, 4.064300e+01,
MON2698, 2698, 2.680000e+01, 6.656452e+05, 4.501084e+06, 2.295900e+01, 4.064400e+01,
MON2699, 2699, 2.690000e+01, 6.656332e+05, 4.500854e+06, 2.295900e+01, 4.064200e+01,
MON2700, 2700, 27, 6.656127e+05, 4.500739e+06, 2.295900e+01, 4.064100e+01,
MON2701, 2701, 27, 6.654652e+05, 4.501054e+06, 2.295700e+01, 4.064400e+01,
MON2702, 2702, 2.790000e+01, 6.644791e+05, 4.501326e+06, 2.294500e+01, 4.064600e+01,
MON2703, 2703, 2.650000e+01, 6.663314e+05, 4.499889e+06, 2.296700e+01, 4.063300e+01,
MON2704, 2704, 27, 6.655073e+05, 4.500999e+06, 2.295700e+01, 4.064300e+01,
MON2705, 2705, 27, 6.655436e+05, 4.500940e+06, 2.295800e+01, 4.064300e+01,
MON2706, 2706, 2.680000e+01, 6.657156e+05, 4.500940e+06, 2.296000e+01, 4.064300e+01,
MON2707, 2707, 2.770000e+01, 6.650522e+05, 4.499907e+06, 2.295200e+01, 4.063400e+01,
MON2708, 2708, 2.870000e+01, 6.636130e+05, 4.501605e+06, 2.293500e+01, 4.064900e+01,
MON2709, 2709, 27, 6.655742e+05, 4.500656e+06, 2.295800e+01, 4.064000e+01,
MON2710, 2710, 2.890000e+01, 6.634994e+05, 4.500975e+06, 2.293400e+01, 4.064300e+01,
MON2711, 2711, 2.750000e+01, 6.649884e+05, 4.500803e+06, 2.295100e+01, 4.064200e+01,
MON2712, 2712, 2.930000e+01, 6.631688e+05, 4.500893e+06, 2.293000e+01, 4.064300e+01,
MON2713, 2713, 2.830000e+01, 6.644664e+05, 4.499998e+06, 2.294500e+01, 4.063400e+01,
MON2714, 2714, 2.880000e+01, 6.636044e+05, 4.500932e+06, 2.293500e+01, 4.064300e+01,
MON2715, 2715, 2.990000e+01, 6.624368e+05, 4.501036e+06, 2.292100e+01, 4.064400e+01,
MON2716, 2716, 2.890000e+01, 6.636703e+05, 4.500498e+06, 2.293600e+01, 4.063900e+01,
MON2717, 2717, 2.790000e+01, 6.649459e+05, 4.499782e+06, 2.295000e+01, 4.063200e+01,
MON2718, 2718, 3.050000e+01, 6.618636e+05, 4.500885e+06, 2.291400e+01, 4.064300e+01,
MON2719, 2719, 2.770000e+01, 6.650416e+05, 4.500027e+06, 2.295200e+01, 4.063500e+01,
MON2720, 2720, 2.990000e+01, 6.623966e+05, 4.501253e+06, 2.292100e+01, 4.064600e+01,
MON2721, 2721, 2.820000e+01, 6.641519e+05, 4.501261e+06, 2.294100e+01, 4.064600e+01,
MON2722, 2722, 2.660000e+01, 6.658952e+05, 4.500954e+06, 2.296200e+01, 4.064300e+01,
MON2723, 2723, 3.140000e+01, 6.609241e+05, 4.501013e+06, 2.290300e+01, 4.064400e+01,
MON2724, 2724, 3.150000e+01, 6.607865e+05, 4.501361e+06, 2.290200e+01, 4.064700e+01,
MON2725, 2725, 3.130000e+01, 6.610436e+05, 4.501029e+06, 2.290500e+01, 4.064400e+01,
MON2726, 2726, 3.110000e+01, 6.612094e+05, 4.501030e+06, 2.290700e+01, 4.064400e+01,
MON2727, 2727, 3.110000e+01, 6.613083e+05, 4.500848e+06, 2.290800e+01, 4.064300e+01,
MON2728, 2728, 31, 6.613056e+05, 4.501117e+06, 2.290800e+01, 4.064500e+01,
MON2729, 2729, 2.980000e+01, 6.628053e+05, 4.500196e+06, 2.292500e+01, 4.063700e+01,
MON2730, 2730, 30, 6.625031e+05, 4.500488e+06, 2.292200e+01, 4.063900e+01,
MON2731, 2731, 3.060000e+01, 6.619447e+05, 4.500292e+06, 2.291500e+01, 4.063800e+01,
MON2732, 2732, 29, 6.637644e+05, 4.499893e+06, 2.293600e+01, 4.063400e+01,
MON2733, 2733, 2.910000e+01, 6.636877e+05, 4.499778e+06, 2.293600e+01, 4.063300e+01,
MON2734, 2734, 29, 6.637884e+05, 4.499853e+06, 2.293700e+01, 4.063300e+01,
MON2735, 2735, 2.910000e+01, 6.635670e+05, 4.499986e+06, 2.293400e+01, 4.063500e+01,
MON2736, 2736, 2.950000e+01, 6.628346e+05, 4.501053e+06, 2.292600e+01, 4.064400e+01,
MON2737, 2737, 2.960000e+01, 6.627704e+05, 4.500983e+06, 2.292500e+01, 4.064400e+01,
MON2738, 2738, 2.940000e+01, 6.629543e+05, 4.500964e+06, 2.292700e+01, 4.064300e+01,
MON2739, 2739, 2.950000e+01, 6.629775e+05, 4.500868e+06, 2.292700e+01, 4.064300e+01,
MON2740, 2740, 2.940000e+01, 6.630430e+05, 4.500935e+06, 2.292800e+01, 4.064300e+01,
MON2741, 2741, 2.930000e+01, 6.630854e+05, 4.500908e+06, 2.292900e+01, 4.064300e+01,
MON2742, 2742, 2.890000e+01, 6.636500e+05, 4.500461e+06, 2.293500e+01, 4.063900e+01,
MON2743, 2743, 2.890000e+01, 6.635293e+05, 4.501057e+06, 2.293400e+01, 4.064400e+01,
MON2744, 2744, 2.890000e+01, 6.634708e+05, 4.501049e+06, 2.293300e+01, 4.064400e+01,
MON2745, 2745, 2.930000e+01, 6.631002e+05, 4.501131e+06, 2.292900e+01, 4.064500e+01,
MON2746, 2746, 2.930000e+01, 6.631190e+05, 4.501085e+06, 2.292900e+01, 4.064500e+01,
MON2747, 2747, 2.840000e+01, 6.640576e+05, 4.501035e+06, 2.294000e+01, 4.064400e+01,
MON2748, 2748, 2.930000e+01, 6.630357e+05, 4.501420e+06, 2.292800e+01, 4.064800e+01,
MON2749, 2749, 2.870000e+01, 6.637683e+05, 4.500750e+06, 2.293700e+01, 4.064100e+01,
MON2750, 2750, 2.690000e+01, 6.656147e+05, 4.500972e+06, 2.295900e+01, 4.064300e+01,
MON2751, 2751, 2.970000e+01, 6.625882e+05, 4.501197e+06, 2.292300e+01, 4.064600e+01,
MON2752, 2752, 31, 6.611336e+05, 4.501724e+06, 2.290600e+01, 4.065100e+01,
MON2753, 2753, 2.980000e+01, 6.625146e+05, 4.501138e+06, 2.292200e+01, 4.064500e+01,
MON2754, 2754, 2.870000e+01, 6.636853e+05, 4.501280e+06, 2.293600e+01, 4.064600e+01,
MON2755, 2755, 2.920000e+01, 6.633503e+05, 4.500596e+06, 2.293200e+01, 4.064000e+01,
MON2756, 2756, 2.850000e+01, 6.639929e+05, 4.500902e+06, 2.293900e+01, 4.064300e+01,
MON2757, 2757, 2.760000e+01, 6.649933e+05, 4.500672e+06, 2.295100e+01, 4.064000e+01,
MON2758, 2758, 29, 6.635451e+05, 4.500442e+06, 2.293400e+01, 4.063900e+01,
MON2759, 2759, 2.820000e+01, 6.645689e+05, 4.499880e+06, 2.294600e+01, 4.063300e+01,
MON2760, 2760, 2.930000e+01, 6.632478e+05, 4.500549e+06, 2.293100e+01, 4.064000e+01,
MON2761, 2761, 2.860000e+01, 6.637490e+05, 4.501338e+06, 2.293700e+01, 4.064700e+01,
MON2762, 2762, 2.680000e+01, 6.660737e+05, 4.499799e+06, 2.296400e+01, 4.063200e+01,
MON2763, 2763, 29, 6.634405e+05, 4.501075e+06, 2.293300e+01, 4.064400e+01,
MON2764, 2764, 2.910000e+01, 6.634062e+05, 4.500464e+06, 2.293200e+01, 4.063900e+01,
MON2765, 2765, 2.870000e+01, 6.637535e+05, 4.500978e+06, 2.293700e+01, 4.064300e+01,
MON2766, 2766, 2.680000e+01, 6.657057e+05, 4.501051e+06, 2.296000e+01, 4.064400e+01,
MON2767, 2767, 2.750000e+01, 6.650988e+05, 4.500613e+06, 2.295200e+01, 4.064000e+01,
MON2768, 2768, 2.780000e+01, 6.649504e+05, 4.500012e+06, 2.295100e+01, 4.063400e+01,
MON2769, 2769, 2.740000e+01, 6.650494e+05, 4.501234e+06, 2.295200e+01, 4.064500e+01,
MON2770, 2770, 2.870000e+01, 6.636873e+05, 4.501143e+06, 2.293600e+01, 4.064500e+01,
MON2771, 2771, 2.830000e+01, 6.641676e+05, 4.500932e+06, 2.294200e+01, 4.064300e+01,
MON2772, 2772, 2.720000e+01, 6.654593e+05, 4.500424e+06, 2.295700e+01, 4.063800e+01,
MON2773, 2773, 2.870000e+01, 6.636489e+05, 4.501090e+06, 2.293500e+01, 4.064400e+01,
MON2774, 2774, 2.740000e+01, 6.651854e+05, 4.500501e+06, 2.295300e+01, 4.063900e+01,
MON2775, 2775, 2.780000e+01, 6.648353e+05, 4.500352e+06, 2.294900e+01, 4.063800e+01,
MON2776, 2776, 2.780000e+01, 6.648586e+05, 4.500342e+06, 2.295000e+01, 4.063700e+01,
MON2777, 2777, 2.940000e+01, 6.630204e+05, 4.500810e+06, 2.292800e+01, 4.064200e+01,
MON2778, 2778, 2.690000e+01, 6.656332e+05, 4.500778e+06, 2.295900e+01, 4.064100e+01,
MON2779, 2779, 2.740000e+01, 6.653887e+05, 4.500061e+06, 2.295600e+01, 4.063500e+01,
MON2780, 2780, 2.850000e+01, 6.637522e+05, 4.501529e+06, 2.293700e+01, 4.064800e+01,
MON2781, 2781, 2.820000e+01, 6.643168e+05, 4.500698e+06, 2.294300e+01, 4.064100e+01,
MON2782, 2782, 2.930000e+01, 6.630644e+05, 4.500981e+06, 2.292800e+01, 4.064400e+01,
MON2783, 2783, 2.870000e+01, 6.636839e+05, 4.501038e+06, 2.293600e+01, 4.064400e+01,
MON2784, 2784, 2.870000e+01, 6.636186e+05, 4.501430e+06, 2.293500e+01, 4.064800e+01,
MON2785, 2785, 2.880000e+01, 6.637168e+05, 4.500623e+06, 2.293600e+01, 4.064000e+01,
MON2786, 2786, 3.020000e+01, 6.622287e+05, 4.500847e+06, 2.291900e+01, 4.064300e+01,
MON2787, 2787, 2.890000e+01, 663614, 4.500655e+06, 2.293500e+01, 4.064100e+01,
MON2788, 2788, 3.090000e+01, 6.614842e+05, 4.500971e+06, 2.291000e+01, 4.064400e+01,
MON2789, 2789, 2.830000e+01, 6.642132e+05, 4.500881e+06, 2.294200e+01, 4.064200e+01,
MON2790, 2790, 28, 6.643694e+05, 4.501315e+06, 2.294400e+01, 4.064600e+01,
MON2791, 2791, 28, 6.643007e+05, 4.501367e+06, 2.294300e+01, 4.064700e+01,
MON2792, 2792, 29, 6.633536e+05, 4.501236e+06, 2.293200e+01, 4.064600e+01,
MON2793, 2793, 28, 6.646093e+05, 4.500451e+06, 2.294700e+01, 4.063900e+01,
MON2794, 2794, 2.920000e+01, 6.632871e+05, 4.500564e+06, 2.293100e+01, 4.064000e+01,
MON2795, 2795, 2.730000e+01, 6.652805e+05, 4.500697e+06, 2.295500e+01, 4.064100e+01,
MON2796, 2796, 28, 6.648000e+05, 4.499707e+06, 2.294900e+01, 4.063200e+01,
MON2797, 2797, 28, 6.648351e+05, 4.499704e+06, 2.294900e+01, 4.063200e+01,
MON2798, 2798, 2.920000e+01, 6.634062e+05, 4.500450e+06, 2.293200e+01, 4.063900e+01,
MON2799, 2799, 28, 6.648217e+05, 4.499717e+06, 2.294900e+01, 4.063200e+01,
MON2800, 2800, 2.730000e+01, 6.654800e+05, 4.500005e+06, 2.295700e+01, 4.063400e+01,
MON2801, 2801, 2.920000e+01, 6.633103e+05, 4.500532e+06, 2.293100e+01, 4.063900e+01,
MON2802, 2802, 2.860000e+01, 6.642051e+05, 4.499849e+06, 2.294200e+01, 4.063300e+01,
MON2803, 2803, 2.950000e+01, 6.628705e+05, 4.501267e+06, 2.292600e+01, 4.064600e+01,
MON2804, 2804, 2.930000e+01, 6.630514e+05, 4.501089e+06, 2.292800e+01, 4.064500e+01,
MON2805, 2805, 2.770000e+01, 6.650929e+05, 4.499875e+06, 2.295200e+01, 4.063300e+01,
MON2806, 2806, 2.820000e+01, 6.643034e+05, 4.500678e+06, 2.294300e+01, 4.064100e+01,
MON2807, 2807, 2.820000e+01, 6.641994e+05, 4.500989e+06, 2.294200e+01, 4.064300e+01,
MON2808, 2808, 2.750000e+01, 6.651081e+05, 4.500358e+06, 2.295200e+01, 4.063800e+01,
MON2809, 2809, 2.860000e+01, 6.640435e+05, 4.500313e+06, 2.294000e+01, 4.063700e+01,
MON2810, 2810, 2.940000e+01, 6.629499e+05, 4.501376e+06, 2.292700e+01, 4.064700e+01,
MON2811, 2811, 2.880000e+01, 6.636853e+05, 4.500923e+06, 2.293600e+01, 4.064300e+01,
MON2812, 2812, 2.830000e+01, 6.640918e+05, 4.500986e+06, 2.294100e+01, 4.064300e+01,
MON2813, 2813, 2.810000e+01, 6.643334e+05, 4.500997e+06, 2.294300e+01, 4.064300e+01,
MON2814, 2814, 2.820000e+01, 6.642891e+05, 4.500985e+06, 2.294300e+01, 4.064300e+01,
MON2815, 2815, 2.820000e+01, 6.644828e+05, 4.500270e+06, 2.294500e+01, 4.063700e+01,
MON2816, 2816, 2.820000e+01, 6.644349e+05, 4.500197e+06, 2.294400e+01, 4.063600e+01,
MON2817, 2817, 2.790000e+01, 6.645478e+05, 4.500882e+06, 2.294600e+01, 4.064200e+01,
MON2818, 2818, 2.790000e+01, 6.645293e+05, 4.500939e+06, 2.294600e+01, 4.064300e+01,
MON2819, 2819, 2.790000e+01, 6.644782e+05, 4.501101e+06, 2.294500e+01, 4.064400e+01,
MON2820, 2820, 2.790000e+01, 6.645786e+05, 4.501083e+06, 2.294600e+01, 4.064400e+01,
MON2821, 2821, 2.780000e+01, 6.646644e+05, 4.501034e+06, 2.294700e+01, 4.064400e+01,
MON2822, 2822, 2.790000e+01, 6.646142e+05, 4.500876e+06, 2.294700e+01, 4.064200e+01,
MON2823, 2823, 2.790000e+01, 6.645989e+05, 4.500842e+06, 2.294700e+01, 4.064200e+01,
MON2824, 2824, 2.760000e+01, 6.649581e+05, 4.500827e+06, 2.295100e+01, 4.064200e+01,
MON2825, 2825, 2.760000e+01, 6.648742e+05, 4.500926e+06, 2.295000e+01, 4.064300e+01,
MON2826, 2826, 2.750000e+01, 6.649526e+05, 4.500889e+06, 2.295100e+01, 4.064200e+01,
MON2827, 2827, 2.750000e+01, 6.649806e+05, 4.500998e+06, 2.295100e+01, 4.064300e+01,
MON2828, 2828, 2.750000e+01, 6.649863e+05, 4.500963e+06, 2.295100e+01, 4.064300e+01,
MON2829, 2829, 2.740000e+01, 6.651261e+05, 4.500892e+06, 2.295300e+01, 4.064200e+01,
MON2830, 2830, 2.740000e+01, 6.649734e+05, 4.501171e+06, 2.295100e+01, 4.064500e+01,
MON2831, 2831, 2.740000e+01, 6.650824e+05, 4.501081e+06, 2.295200e+01, 4.064400e+01,
MON2832, 2832, 2.850000e+01, 6.640967e+05, 4.500260e+06, 2.294100e+01, 4.063700e+01,
MON2833, 2833, 2.810000e+01, 6.643458e+05, 4.500860e+06, 2.294400e+01, 4.064200e+01,
MON2834, 2834, 2.890000e+01, 6.637454e+05, 4.500148e+06, 2.293600e+01, 4.063600e+01,
MON2835, 2835, 2.730000e+01, 6.652881e+05, 4.500736e+06, 2.295500e+01, 4.064100e+01,
MON2836, 2836, 2.890000e+01, 6.634718e+05, 4.501101e+06, 2.293300e+01, 4.064500e+01,
MON2837, 2837, 2.930000e+01, 6.631835e+05, 4.500688e+06, 2.293000e+01, 4.064100e+01,
MON2838, 2838, 2.840000e+01, 6.639820e+05, 4.501338e+06, 2.293900e+01, 4.064700e+01,
MON2839, 2839, 2.770000e+01, 6.647789e+05, 4.501082e+06, 2.294900e+01, 4.064400e+01,
MON2840, 2840, 2.720000e+01, 6.653845e+05, 4.500635e+06, 2.295600e+01, 4.064000e+01,
MON2841, 2841, 2.790000e+01, 6.647554e+05, 4.500339e+06, 2.294800e+01, 4.063700e+01,
MON2842, 2842, 2.870000e+01, 6.634992e+05, 4.501674e+06, 2.293400e+01, 4.065000e+01,
MON2843, 2843, 2.760000e+01, 6.650803e+05, 4.500426e+06, 2.295200e+01, 4.063800e+01,
MON2844, 2844, 2.760000e+01, 6.652036e+05, 4.499790e+06, 2.295300e+01, 4.063200e+01,
MON2845, 2845, 29, 6.632542e+05, 4.501466e+06, 2.293100e+01, 4.064800e+01,
MON2846, 2846, 2.710000e+01, 6.654824e+05, 4.500550e+06, 2.295700e+01, 4.063900e+01,
MON2847, 2847, 28, 6.644622e+05, 4.500974e+06, 2.294500e+01, 4.064300e+01,
MON2848, 2848, 2.870000e+01, 6.638390e+05, 4.500488e+06, 2.293800e+01, 4.063900e+01,
MON2849, 2849, 2.770000e+01, 6.646865e+05, 4.501189e+06, 2.294800e+01, 4.064500e+01,
MON2850, 2850, 2.830000e+01, 6.642516e+05, 4.500762e+06, 2.294200e+01, 4.064100e+01,
MON2851, 2851, 28, 6.647076e+05, 4.500148e+06, 2.294800e+01, 4.063600e+01,
MON2852, 2852, 30, 6.624332e+05, 4.500667e+06, 2.292100e+01, 4.064100e+01,
