Station Code,Monitor ID,Repi (km),E_UTM [m],N_UTM [m],LON [°],LAT [°]
PPE,137,19.6676,662538.2000,4988222.0000,999.0000,999.0000
PPE,138,19.2143,662787.6000,4987791.0000,999.0000,999.0000
PPE,139,19.6226,663036.7000,4988222.0000,999.0000,999.0000
PPE,140,24.0190,669765.9000,4992107.0000,999.0000,999.0000
PPE,141,24.3890,669516.5000,4992539.0000,999.0000,999.0000
PPE,142,23.9159,669267.4000,4992107.0000,999.0000,999.0000
PPE,143,19.5704,664033.8000,4988222.0000,999.0000,999.0000
PPE,144,19.1343,664283.2000,4987791.0000,999.0000,999.0000
PPE,145,19.5633,664532.3000,4988222.0000,999.0000,999.0000
PPE,146,24.3868,671261.5000,4992107.0000,999.0000,999.0000
PPE,147,24.7363,671012.2000,4992539.0000,999.0000,999.0000
PPE,148,24.2546,670763.0000,4992107.0000,999.0000,999.0000
PPE,149,19.5872,665529.4000,4988222.0000,999.0000,999.0000
PPE,150,19.1710,665778.8000,4987791.0000,999.0000,999.0000
PPE,151,19.6182,666027.9000,4988222.0000,999.0000,999.0000
PPE,152,24.8394,672757.1000,4992107.0000,999.0000,999.0000
PPE,153,25.1678,672507.8000,4992539.0000,999.0000,999.0000
PPE,154,24.6794,672258.6000,4992107.0000,999.0000,999.0000
PPE,155,19.7178,667025.0000,4988222.0000,999.0000,999.0000
PPE,156,19.3237,667274.4000,4987791.0000,999.0000,999.0000
PPE,157,19.7863,667523.5000,4988222.0000,999.0000,999.0000
PPE,158,25.3722,674252.7000,4992107.0000,999.0000,999.0000
PPE,159,25.6792,674003.4000,4992539.0000,999.0000,999.0000
PPE,160,25.1860,673754.2000,4992107.0000,999.0000,999.0000
PPE,161,19.9599,668520.6000,4988222.0000,999.0000,999.0000
PPE,162,19.5897,668770.0000,4987791.0000,999.0000,999.0000
PPE,163,20.0648,669019.1000,4988222.0000,999.0000,999.0000
PPE,164,25.9802,675748.3000,4992107.0000,999.0000,999.0000
PPE,165,26.2660,675499.0000,4992539.0000,999.0000,999.0000
PPE,166,25.7695,675249.8000,4992107.0000,999.0000,999.0000
PPE,167,20.3096,670016.2000,4988222.0000,999.0000,999.0000
PPE,168,19.9646,670265.6000,4987791.0000,999.0000,999.0000
PPE,169,20.4491,670514.7000,4988222.0000,999.0000,999.0000
PPE,170,26.6584,677243.9000,4992107.0000,999.0000,999.0000
PPE,171,26.9231,676994.6000,4992539.0000,999.0000,999.0000
PPE,172,26.4249,676745.4000,4992107.0000,999.0000,999.0000
PPE,173,20.7613,671511.8000,4988222.0000,999.0000,999.0000
PPE,174,20.4422,671761.2000,4987791.0000,999.0000,999.0000
PPE,175,20.9335,672010.3000,4988222.0000,999.0000,999.0000
PPE,176,27.4016,678739.6000,4992107.0000,999.0000,999.0000
PPE,177,27.6457,678490.2000,4992539.0000,999.0000,999.0000
PPE,178,27.1470,678241.0000,4992107.0000,999.0000,999.0000
PPE,179,30.3008,677493.1000,4941256.0000,999.0000,999.0000
PPE,180,30.5169,677991.7000,4941256.0000,999.0000,999.0000
PPE,181,30.0202,677742.3000,4941687.0000,999.0000,999.0000
PPE,182,25.4637,676993.2000,4946436.0000,999.0000,999.0000
PPE,183,24.9649,676743.8000,4946868.0000,999.0000,999.0000
PPE,184,25.2241,676494.7000,4946436.0000,999.0000,999.0000
