E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       706171.000000,      4941654.000000,            0.120000,            0.071000,            0.092000,
       705977.900000,      4942163.000000,            0.119000,            0.110000,            0.115000,
       706906.700000,      4943247.000000,            0.025000,            0.023000,            0.024000,
       706460.700000,      4942987.000000,            0.099000,            0.103000,            0.101000,
       706906.700000,      4942749.000000,            0.022000,            0.016000,            0.019000,
       706906.700000,      4942252.000000,            0.019000,            0.011000,            0.014000,
       706497.800000,      4941980.000000,            0.189000,            0.095000,            0.134000,
       706459.600000,      4942476.000000,            0.157000,            0.088000,            0.117000,
       706474.900000,      4944990.000000,            0.087000,            0.129000,            0.106000,
       704750.500000,      4947978.000000,            0.131000,            0.134000,            0.132000,
       704319.500000,      4947730.000000,            0.078000,            0.188000,            0.121000,
       704750.600000,      4947481.000000,            0.094000,            0.192000,            0.135000,
       701422.600000,      4942119.000000,            0.066000,            0.096000,            0.080000,
