E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       677742.300000,      4941687.000000,            1.376000,            1.695000,            1.527000,
       676993.200000,      4946436.000000,            1.839000,            1.815000,            1.827000,
       676743.800000,      4946868.000000,            1.680000,            1.966000,            1.817000,
       676494.700000,      4946436.000000,            1.424000,            1.485000,            1.454000,
       674502.800000,      4989086.000000,            1.636000,            1.816000,            1.724000,
       674752.200000,      4988654.000000,            1.719000,            1.881000,            1.798000,
       675001.300000,      4989086.000000,            1.519000,            1.433000,            1.476000,
       681232.200000,      4992107.000000,            1.134000,            1.258000,            1.194000,
       681730.800000,      4992107.000000,            1.555000,            1.251000,            1.395000,
       681481.400000,      4992539.000000,            1.695000,            1.793000,            1.743000,
       675998.700000,      4988222.000000,            1.942000,            1.550000,            1.735000,
       676248.100000,      4987791.000000,            1.822000,            1.901000,            1.861000,
       676497.200000,      4988222.000000,            1.757000,            1.942000,            1.847000,
       683226.400000,      4992107.000000,            1.657000,            1.609000,            1.633000,
       682977.000000,      4992539.000000,            1.415000,            1.073000,            1.232000,
       682727.800000,      4992107.000000,            1.317000,            1.511000,            1.411000,
       677494.300000,      4988222.000000,            1.982000,            1.600000,            1.780000,
       677743.700000,      4987791.000000,            1.426000,            1.369000,            1.397000,
       677992.800000,      4988222.000000,            1.801000,            1.799000,            1.800000,
       705612.900000,      4963910.000000,            1.470000,            1.037000,            1.235000,
       705612.900000,      4963412.000000,            1.248000,            0.832000,            1.019000,
       706044.200000,      4963661.000000,            0.857000,            0.996000,            0.924000,
       704750.400000,      4964409.000000,            0.867000,            0.839000,            0.853000,
       704750.400000,      4963911.000000,            1.016000,            0.874000,            0.942000,
       705181.700000,      4964160.000000,            1.117000,            0.957000,            1.034000,
       685719.100000,      4992107.000000,            1.178000,            1.335000,            1.254000,
       686217.600000,      4992107.000000,            1.794000,            0.914000,            1.280000,
       685968.200000,      4992539.000000,            1.233000,            1.294000,            1.263000,
       688711.100000,      4989517.000000,            1.425000,            1.177000,            1.295000,
       688461.600000,      4989949.000000,            1.483000,            1.077000,            1.263000,
       688212.500000,      4989517.000000,            1.361000,            1.349000,            1.355000,
       683475.600000,      4992539.000000,            1.313000,            1.224000,            1.268000,
       690455.500000,      4990812.000000,            0.966000,            1.258000,            1.103000,
       690206.100000,      4991244.000000,            1.599000,            1.380000,            1.485000,
       689957.000000,      4990812.000000,            1.067000,            1.188000,            1.126000,
       706044.200000,      4980590.000000,            0.969000,            0.937000,            0.953000,
       706475.500000,      4980839.000000,            0.965000,            0.917000,            0.940000,
       706044.200000,      4981088.000000,            0.860000,            0.880000,            0.870000,
       689458.000000,      4992539.000000,            1.032000,            1.216000,            1.121000,
       689707.300000,      4992107.000000,            1.178000,            1.191000,            1.184000,
       689956.500000,      4992539.000000,            1.051000,            1.126000,            1.088000,
       696687.500000,      4990381.000000,            1.341000,            1.036000,            1.179000,
       697186.000000,      4990381.000000,            0.999000,            0.931000,            0.964000,
       696936.600000,      4990812.000000,            1.243000,            1.361000,            1.301000,
       695689.800000,      4992107.000000,            0.957000,            1.294000,            1.112000,
       695440.400000,      4992539.000000,            0.987000,            1.008000,            0.997000,
       695191.300000,      4992107.000000,            1.095000,            1.326000,            1.205000,
       693447.100000,      4989949.000000,            1.358000,            1.093000,            1.218000,
       692948.500000,      4989949.000000,            1.172000,            1.014000,            1.090000,
       693198.000000,      4989517.000000,            1.335000,            1.462000,            1.397000,
       695690.700000,      4989517.000000,            0.970000,            1.401000,            1.166000,
       696189.300000,      4989517.000000,            0.998000,            1.067000,            1.032000,
       695939.800000,      4989949.000000,            1.453000,            1.008000,            1.210000,
       688959.400000,      4992539.000000,            1.102000,            1.074000,            1.088000,
       689208.800000,      4992107.000000,            1.100000,            1.217000,            1.157000,
       688460.900000,      4992539.000000,            1.755000,            1.451000,            1.595000,
       688710.300000,      4992107.000000,            1.034000,            1.191000,            1.110000,
       706044.200000,      4973121.000000,            1.270000,            1.129000,            1.197000,
       706044.200000,      4972623.000000,            1.125000,            0.850000,            0.978000,
       706475.500000,      4972872.000000,            0.824000,            0.882000,            0.853000,
       706044.200000,      4972126.000000,            1.052000,            0.808000,            0.922000,
       706475.500000,      4972374.000000,            1.062000,            1.068000,            1.065000,
       691452.300000,      4991676.000000,            1.136000,            1.145000,            1.140000,
       691203.000000,      4992107.000000,            1.031000,            1.265000,            1.142000,
       690953.800000,      4991676.000000,            1.229000,            1.286000,            1.257000,
       685469.700000,      4992539.000000,            1.383000,            1.123000,            1.246000,
