LON [dd], LAT [dd], Rgh [m/s2]
       11.0740236525,       45.0586876894,        0.4431536698,
       11.0482535699,       44.5600012409,        0.3208663529,
       11.0545327920,       44.5598603264,        0.3210868987,
       11.0515284668,       44.5647691981,        0.3271682556,
       11.0993367917,       45.0582620146,        0.4418250312,
       11.0963131846,       45.0618856303,        0.4318891577,
       11.0930091990,       45.0583689212,        0.4425213898,
       11.0561605047,       44.6174098918,        0.4103466961,
       11.0531530558,       44.6222175492,        0.4193545893,
       11.0498762623,       44.6175478175,        0.4099382274,
       11.1183206076,       45.0579392778,        0.4383145982,
       11.1152983429,       45.0615643666,        0.4288930245,
       11.1119931308,       45.0580471822,        0.4397176987,
       11.0443148140,       45.0265671434,        0.5505534784,
       11.0473391929,       45.0228406968,        0.5663140922,
       11.0506388446,       45.0264598685,        0.5524029597,
       11.1373040739,       45.0576135457,        0.4327692214,
       11.1342831521,       45.0612401169,        0.4239412245,
       11.1309767139,       45.0577224488,        0.4348340712,
       11.0632880615,       45.0262442745,        0.5549271924,
       11.0663123733,       45.0225163333,        0.5703288077,
       11.0696119791,       45.0261359769,        0.5555894640,
       11.1562871874,       45.0572848160,        0.4253617625,
       11.1532676090,       45.0609128789,        0.4171850112,
       11.1499599454,       45.0573947185,        0.4280249144,
       11.0822609690,       45.0259183366,        0.5556984158,
       11.0852839447,       45.0221889130,        0.5705017474,
       11.0885847725,       45.0258090156,        0.5551445507,
       11.1752699451,       45.0569530864,        0.4163110224,
       11.1722529798,       45.0605826281,        0.4088201619,
       11.1689428220,       45.0570639890,        0.4194953837,
       11.1012335333,       45.0255893274,        0.5528334512,
       11.1042551726,       45.0218584121,        0.5668254929,
       11.1075572218,       45.0254789822,        0.5510876664,
       11.1942523438,       45.0566183542,        0.4058661220,
       11.1912367227,       45.0602494061,        0.3990754291,
       11.1879253407,       45.0567302579,        0.4094862848,
       11.1202057514,       45.0252572446,        0.5464566503,
       11.1232260537,       45.0215248281,        0.5594643222,
       11.1265293238,       45.0251458743,        0.5435936131,
