E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       670265.600000,      4987791.000000,            1.236000,            4.100000,            2.251000,
       670514.700000,      4988222.000000,            1.095000,            3.596000,            1.984000,
       677243.900000,      4992107.000000,            1.039000,            3.449000,            1.893000,
       676994.600000,      4992539.000000,            0.130000,            0.682000,            0.298000,
       676745.400000,      4992107.000000,            0.976000,            3.622000,            1.880000,
       671511.800000,      4988222.000000,            1.320000,            3.285000,            2.082000,
       671761.200000,      4987791.000000,            1.247000,            3.264000,            2.017000,
       672010.300000,      4988222.000000,            1.368000,            3.119000,            2.066000,
       678739.600000,      4992107.000000,            1.145000,            3.135000,            1.895000,
       678490.200000,      4992539.000000,            0.082000,            1.005000,            0.287000,
       678241.000000,      4992107.000000,            1.050000,            3.249000,            1.847000,
       677493.100000,      4941256.000000,            0.060000,            0.254000,            0.124000,
       677991.700000,      4941256.000000,            0.610000,            0.400000,            0.494000,
       677742.300000,      4941687.000000,            0.893000,            2.011000,            1.340000,
       676993.200000,      4946436.000000,            0.712000,            0.801000,            0.755000,
       676743.800000,      4946868.000000,            0.720000,            0.858000,            0.786000,
       676494.700000,      4946436.000000,            0.756000,            0.967000,            0.855000,
       674502.800000,      4989086.000000,            2.223000,            1.805000,            2.003000,
       674752.200000,      4988654.000000,            2.856000,            2.427000,            2.633000,
       675001.300000,      4989086.000000,            2.265000,            1.482000,            1.832000,
       681232.200000,      4992107.000000,            1.879000,            1.881000,            1.880000,
       681730.800000,      4992107.000000,            1.974000,            1.676000,            1.819000,
       681481.400000,      4992539.000000,            0.164000,            0.339000,            0.236000,
       675998.700000,      4988222.000000,            2.568000,            2.147000,            2.348000,
       676248.100000,      4987791.000000,            2.318000,            2.468000,            2.392000,
       676497.200000,      4988222.000000,            3.161000,            1.985000,            2.505000,
       683226.400000,      4992107.000000,            2.040000,            1.275000,            1.613000,
       682977.000000,      4992539.000000,            0.171000,            0.522000,            0.299000,
       682727.800000,      4992107.000000,            2.071000,            1.605000,            1.823000,
       677494.300000,      4988222.000000,            2.258000,            1.500000,            1.840000,
       677743.700000,      4987791.000000,            1.746000,            1.334000,            1.526000,
       677992.800000,      4988222.000000,            2.030000,            1.531000,            1.763000,
       705612.900000,      4963910.000000,            0.433000,            0.321000,            0.373000,
       705612.900000,      4963412.000000,            0.448000,            0.302000,            0.368000,
       706044.200000,      4963661.000000,            0.308000,            0.325000,            0.316000,
       704750.400000,      4964409.000000,            0.598000,            0.359000,            0.463000,
