E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],Rp [m/s2],Ro [m/s2],
       704750.400000,      4964409.000000,            0.362000,            0.431000,            0.395000,            0.562000,            0.030000,
       704750.400000,      4963911.000000,            0.427000,            0.385000,            0.406000,            0.573000,            0.049000,
       705181.700000,      4964160.000000,            0.372000,            0.403000,            0.387000,            0.040000,            0.547000,
       685719.100000,      4992107.000000,            0.492000,            0.620000,            0.553000,            0.789000,            0.064000,
       686217.600000,      4992107.000000,            0.706000,            0.477000,            0.580000,            0.830000,            0.190000,
       685968.200000,      4992539.000000,            0.434000,            0.544000,            0.486000,            0.100000,            0.689000,
       688711.100000,      4989517.000000,            0.626000,            0.529000,            0.576000,            0.814000,            0.096000,
       688461.600000,      4989949.000000,            0.727000,            0.554000,            0.635000,            0.902000,            0.152000,
       688212.500000,      4989517.000000,            0.519000,            0.557000,            0.538000,            0.761000,            0.002000,
       683475.600000,      4992539.000000,            0.518000,            0.632000,            0.572000,            0.107000,            0.810000,
       690455.500000,      4990812.000000,            0.544000,            0.575000,            0.559000,            0.049000,            0.790000,
       690206.100000,      4991244.000000,            0.618000,            0.492000,            0.551000,            0.063000,            0.787000,
       689957.000000,      4990812.000000,            0.715000,            0.467000,            0.578000,            0.148000,            0.841000,
       706044.200000,      4980590.000000,            0.414000,            0.338000,            0.374000,            0.529000,            0.071000,
       706475.500000,      4980839.000000,            0.354000,            0.391000,            0.372000,            0.527000,            0.009000,
       706044.200000,      4981088.000000,            0.401000,            0.410000,            0.405000,            0.026000,            0.573000,
       689458.000000,      4992539.000000,            0.458000,            0.485000,            0.471000,            0.667000,            0.003000,
       689707.300000,      4992107.000000,            0.494000,            0.535000,            0.514000,            0.053000,            0.727000,
       689956.500000,      4992539.000000,            0.460000,            0.451000,            0.456000,            0.644000,            0.027000,
       696687.500000,      4990381.000000,            0.581000,            0.526000,            0.553000,            0.012000,            0.783000,
       697186.000000,      4990381.000000,            0.417000,            0.333000,            0.372000,            0.528000,            0.077000,
       696936.600000,      4990812.000000,            0.478000,            0.483000,            0.481000,            0.026000,            0.679000,
       695689.800000,      4992107.000000,            0.465000,            0.371000,            0.415000,            0.588000,            0.086000,
       695440.400000,      4992539.000000,            0.426000,            0.431000,            0.428000,            0.605000,            0.017000,
       695191.300000,      4992107.000000,            0.455000,            0.424000,            0.439000,            0.621000,            0.043000,
       693447.100000,      4989949.000000,            0.445000,            0.514000,            0.478000,            0.679000,            0.026000,
       692948.500000,      4989949.000000,            0.456000,            0.421000,            0.438000,            0.619000,            0.045000,
       693198.000000,      4989517.000000,            0.486000,            0.457000,            0.471000,            0.002000,            0.667000,
       695690.700000,      4989517.000000,            0.441000,            0.488000,            0.464000,            0.658000,            0.011000,
       696189.300000,      4989517.000000,            0.394000,            0.616000,            0.493000,            0.719000,            0.133000,
       695939.800000,      4989949.000000,            0.382000,            0.353000,            0.367000,            0.003000,            0.520000,
       688959.400000,      4992539.000000,            0.511000,            0.481000,            0.496000,            0.002000,            0.702000,
       689208.800000,      4992107.000000,            0.399000,            0.640000,            0.505000,            0.740000,            0.146000,
       688460.900000,      4992539.000000,            0.580000,            0.496000,            0.536000,            0.758000,            0.085000,
       688710.300000,      4992107.000000,            0.440000,            0.455000,            0.447000,            0.633000,            0.010000,
       706044.200000,      4973121.000000,            0.345000,            0.387000,            0.365000,            0.518000,            0.012000,
       706044.200000,      4972623.000000,            0.307000,            0.398000,            0.349000,            0.081000,            0.496000,
       706475.500000,      4972872.000000,            0.375000,            0.516000,            0.440000,            0.121000,            0.626000,
       706044.200000,      4972126.000000,            0.473000,            0.363000,            0.415000,            0.588000,            0.097000,
       706475.500000,      4972374.000000,            0.463000,            0.439000,            0.451000,            0.637000,            0.038000,
       691452.300000,      4991676.000000,            0.434000,            0.527000,            0.478000,            0.089000,            0.677000,
       691203.000000,      4992107.000000,            0.437000,            0.488000,            0.462000,            0.058000,            0.652000,
       690953.800000,      4991676.000000,            0.669000,            0.476000,            0.564000,            0.805000,            0.164000,
       685469.700000,      4992539.000000,            0.630000,            0.524000,            0.575000,            0.813000,            0.102000,
       683974.100000,      4992539.000000,            0.759000,            0.610000,            0.680000,            0.073000,            0.971000,
       683724.900000,      4992107.000000,            0.481000,            0.575000,            0.526000,            0.748000,            0.042000,
       686716.100000,      4992107.000000,            0.583000,            0.545000,            0.563000,            0.796000,            0.054000,
       687214.700000,      4992107.000000,            0.527000,            0.584000,            0.555000,            0.786000,            0.014000,
       686965.300000,      4992539.000000,            0.460000,            0.517000,            0.488000,            0.692000,            0.017000,
       705612.900000,      4962915.000000,            0.394000,            0.406000,            0.400000,            0.566000,            0.010000,
       706044.200000,      4963163.000000,            0.366000,            0.353000,            0.359000,            0.508000,            0.026000,
       682478.500000,      4941256.000000,            0.514000,            0.522000,            0.518000,            0.733000,            0.018000,
       682229.100000,      4941687.000000,            0.592000,            0.567000,            0.579000,            0.009000,            0.820000,
       681979.900000,      4941256.000000,            0.607000,            0.595000,            0.601000,            0.020000,            0.850000,
       704319.100000,      4964658.000000,            0.410000,            0.616000,            0.502000,            0.169000,            0.720000,
       704319.100000,      4964160.000000,            0.668000,            0.489000,            0.571000,            0.099000,            0.822000,
       681480.000000,      4946436.000000,            0.723000,            0.575000,            0.645000,            0.074000,            0.921000,
       681230.600000,      4946867.000000,            0.817000,            0.593000,            0.696000,            0.991000,            0.192000,
       680981.500000,      4946436.000000,            0.580000,            0.564000,            0.572000,            0.808000,            0.038000,
       684223.200000,      4941687.000000,            0.455000,            0.541000,            0.496000,            0.084000,            0.702000,
       683973.900000,      4942119.000000,            0.519000,            0.524000,            0.521000,            0.028000,            0.737000,
       683724.700000,      4941687.000000,            0.514000,            0.657000,            0.581000,            0.128000,            0.825000,
       684721.800000,      4941687.000000,            0.407000,            0.431000,            0.418000,            0.037000,            0.591000,
       684472.400000,      4942119.000000,            0.496000,            0.460000,            0.478000,            0.675000,            0.048000,
       685220.300000,      4941687.000000,            0.428000,            0.565000,            0.492000,            0.705000,            0.073000,
       684971.000000,      4942119.000000,            0.615000,            0.490000,            0.549000,            0.778000,            0.114000,
       685718.900000,      4941687.000000,            0.542000,            0.531000,            0.536000,            0.017000,            0.758000,
       685469.500000,      4942119.000000,            0.401000,            0.517000,            0.455000,            0.651000,            0.061000,
       686466.800000,      4941256.000000,            0.479000,            0.515000,            0.497000,            0.049000,            0.702000,
       686217.400000,      4941687.000000,            0.623000,            0.563000,            0.592000,            0.015000,            0.839000,
       685968.200000,      4941256.000000,            0.460000,            0.460000,            0.460000,            0.022000,            0.650000,
       686965.300000,      4941256.000000,            0.447000,            0.425000,            0.436000,            0.616000,            0.036000,
       686715.900000,      4941687.000000,            0.512000,            0.622000,            0.564000,            0.804000,            0.051000,
       687463.800000,      4941256.000000,            0.462000,            0.452000,            0.457000,            0.645000,            0.029000,
       687214.500000,      4941687.000000,            0.459000,            0.505000,            0.482000,            0.683000,            0.010000,
       687962.400000,      4941256.000000,            0.462000,            0.518000,            0.489000,            0.063000,            0.691000,
       687713.000000,      4941687.000000,            0.501000,            0.531000,            0.516000,            0.730000,            0.004000,
       688460.900000,      4941256.000000,            0.496000,            0.556000,            0.525000,            0.744000,            0.018000,
       688211.500000,      4941687.000000,            0.497000,            0.442000,            0.469000,            0.663000,            0.061000,
       706044.200000,      4958682.000000,            0.466000,            0.381000,            0.421000,            0.597000,            0.079000,
       706044.200000,      4958184.000000,            0.377000,            0.377000,            0.377000,            0.533000,            0.018000,
       706475.500000,      4958433.000000,            0.342000,            0.312000,            0.327000,            0.462000,            0.037000,
       689458.000000,      4941256.000000,            0.522000,            0.510000,            0.516000,            0.016000,            0.730000,
       689208.600000,      4941687.000000,            0.518000,            0.432000,            0.473000,            0.038000,            0.673000,
       688959.400000,      4941256.000000,            0.477000,            0.397000,            0.435000,            0.036000,            0.619000,
       689956.500000,      4941256.000000,            0.433000,            0.401000,            0.417000,            0.588000,            0.042000,
       689707.100000,      4941687.000000,            0.491000,            0.500000,            0.495000,            0.700000,            0.017000,
       706475.500000,      4960425.000000,            0.463000,            0.394000,            0.427000,            0.605000,            0.069000,
       706475.500000,      4960923.000000,            0.485000,            0.487000,            0.486000,            0.687000,            0.022000,
       706044.200000,      4960674.000000,            0.487000,            0.447000,            0.466000,            0.659000,            0.050000,
       690205.700000,      4941687.000000,            0.402000,            0.365000,            0.383000,            0.541000,            0.044000,
       690704.200000,      4941687.000000,            0.517000,            0.578000,            0.547000,            0.069000,            0.772000,
       690454.800000,      4942119.000000,            0.389000,            0.510000,            0.445000,            0.107000,            0.633000,
       706906.700000,      4960176.000000,            0.351000,            0.457000,            0.400000,            0.573000,            0.056000,
       706906.700000,      4960674.000000,            0.333000,            0.350000,            0.341000,            0.028000,            0.482000,
       706906.700000,      4959678.000000,            0.375000,            0.598000,            0.473000,            0.693000,            0.135000,
       706475.500000,      4959927.000000,            0.384000,            0.419000,            0.401000,            0.569000,            0.006000,
       706906.700000,      4959180.000000,            0.466000,            0.431000,            0.448000,            0.004000,            0.635000,
