E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],Rp [m/s2],Ro [m/s2],
       633487.400000,      4973121.000000,            0.036000,            0.053000,            0.044000,            0.064000,            0.010000,
       633487.400000,      4976108.000000,            0.041000,            0.044000,            0.043000,            0.060000,            0.000000,
       633487.400000,      4976606.000000,            0.035000,            0.045000,            0.039000,            0.009000,            0.056000,
       633056.200000,      4976357.000000,            0.045000,            0.049000,            0.047000,            0.066000,            0.000000,
       634349.900000,      4975112.000000,            0.044000,            0.048000,            0.046000,            0.065000,            0.001000,
       634349.900000,      4975610.000000,            0.048000,            0.052000,            0.050000,            0.071000,            0.001000,
       633918.700000,      4975361.000000,            0.037000,            0.042000,            0.040000,            0.056000,            0.002000,
       635212.500000,      4973120.000000,            0.047000,            0.063000,            0.054000,            0.078000,            0.009000,
       635212.500000,      4973618.000000,            0.053000,            0.046000,            0.049000,            0.069000,            0.007000,
       634781.200000,      4973369.000000,            0.038000,            0.055000,            0.046000,            0.066000,            0.010000,
       654809.800000,      4992107.000000,            0.060000,            0.074000,            0.067000,            0.095000,            0.006000,
       655059.200000,      4991676.000000,            0.066000,            0.078000,            0.072000,            0.011000,            0.101000,
       655308.400000,      4992107.000000,            0.065000,            0.061000,            0.063000,            0.089000,            0.006000,
       662288.100000,      4991244.000000,            0.032000,            0.092000,            0.054000,            0.089000,            0.039000,
       662786.600000,      4991244.000000,            0.037000,            0.080000,            0.054000,            0.084000,            0.027000,
       662537.200000,      4991676.000000,            0.044000,            0.070000,            0.055000,            0.081000,            0.016000,
       633918.700000,      4970382.000000,            0.035000,            0.047000,            0.041000,            0.059000,            0.007000,
       633918.700000,      4970880.000000,            0.038000,            0.045000,            0.041000,            0.058000,            0.003000,
       655557.700000,      4991676.000000,            0.072000,            0.063000,            0.067000,            0.095000,            0.010000,
       655806.900000,      4992107.000000,            0.063000,            0.057000,            0.060000,            0.001000,            0.085000,
       655558.200000,      4989949.000000,            0.073000,            0.104000,            0.087000,            0.126000,            0.017000,
       655807.600000,      4989517.000000,            0.064000,            0.091000,            0.076000,            0.110000,            0.016000,
       656056.700000,      4989949.000000,            0.058000,            0.078000,            0.067000,            0.096000,            0.011000,
       663783.500000,      4992107.000000,            0.054000,            0.053000,            0.053000,            0.075000,            0.003000,
       663534.100000,      4992539.000000,            0.032000,            0.046000,            0.039000,            0.012000,            0.055000,
       663284.900000,      4992107.000000,            0.033000,            0.052000,            0.041000,            0.060000,            0.012000,
       662537.000000,      4941256.000000,            0.028000,            0.031000,            0.030000,            0.042000,            0.000000,
       663035.600000,      4941256.000000,            0.034000,            0.029000,            0.031000,            0.044000,            0.005000,
       662786.200000,      4941687.000000,            0.039000,            0.038000,            0.038000,            0.054000,            0.002000,
       665279.100000,      4992107.000000,            0.049000,            0.059000,            0.053000,            0.010000,            0.076000,
       665029.700000,      4992539.000000,            0.038000,            0.037000,            0.037000,            0.053000,            0.003000,
       664780.600000,      4992107.000000,            0.038000,            0.055000,            0.046000,            0.014000,            0.065000,
       663034.200000,      4946436.000000,            0.041000,            0.051000,            0.046000,            0.010000,            0.065000,
       662784.700000,      4946868.000000,            0.041000,            0.060000,            0.050000,            0.016000,            0.071000,
       662535.600000,      4946436.000000,            0.040000,            0.054000,            0.047000,            0.067000,            0.008000,
       666774.700000,      4992107.000000,            0.037000,            0.071000,            0.051000,            0.027000,            0.075000,
       666525.300000,      4992539.000000,            0.033000,            0.033000,            0.033000,            0.047000,            0.002000,
       666276.200000,      4992107.000000,            0.039000,            0.048000,            0.043000,            0.062000,            0.005000,
       661042.600000,      4988222.000000,            0.060000,            0.122000,            0.086000,            0.048000,            0.128000,
       661291.900000,      4987791.000000,            0.044000,            0.117000,            0.072000,            0.116000,            0.048000,
